"120.0 30.0,120.0 30.1,120.1 30.1,120.1 30.0,120.0 30.0"
"120.1 30.0,120.1 30.1,120.2 30.1,120.2 30.0,120.1 30.0"
"120.2 30.0,120.2 30.1,120.3 30.1,120.3 30.0,120.2 30.0"
"120.3 30.0,120.3 30.1,120.4 30.1,120.4 30.0,120.3 30.0"
"120.4 30.0,120.4 30.1,120.5 30.1,120.5 30.0,120.4 30.0"
"120.0 30.1,120.0 30.2,120.1 30.2,120.1 30.1,120.0 30.1"
"120.1 30.1,120.1 30.2,120.2 30.2,120.2 30.1,120.1 30.1"
"120.2 30.1,120.2 30.2,120.3 30.2,120.3 30.1,120.2 30.1"
"120.3 30.1,120.3 30.2,120.4 30.2,120.4 30.1,120.3 30.1"
"120.4 30.1,120.4 30.2,120.5 30.2,120.5 30.1,120.4 30.1"
"120.0 30.2,120.0 30.3,120.1 30.3,120.1 30.2,120.0 30.2"
"120.1 30.2,120.1 30.3,120.2 30.3,120.2 30.2,120.1 30.2"
"120.2 30.2,120.2 30.3,120.3 30.3,120.3 30.2,120.2 30.2"
"120.3 30.2,120.3 30.3,120.4 30.3,120.4 30.2,120.3 30.2"
"120.4 30.2,120.4 30.3,120.5 30.3,120.5 30.2,120.4 30.2"
"120.0 30.3,120.0 30.4,120.1 30.4,120.1 30.3,120.0 30.3"
"120.1 30.3,120.1 30.4,120.2 30.4,120.2 30.3,120.1 30.3"
"120.2 30.3,120.2 30.4,120.3 30.4,120.3 30.3,120.2 30.3"
"120.3 30.3,120.3 30.4,120.4 30.4,120.4 30.3,120.3 30.3"
"120.4 30.3,120.4 30.4,120.5 30.4,120.5 30.3,120.4 30.3"
"120.0 30.4,120.0 30.5,120.1 30.5,120.1 30.4,120.0 30.4"
"120.1 30.4,120.1 30.5,120.2 30.5,120.2 30.4,120.1 30.4"
"120.2 30.4,120.2 30.5,120.3 30.5,120.3 30.4,120.2 30.4"
"120.3 30.4,120.3 30.5,120.4 30.5,120.4 30.4,120.3 30.4"
"120.4 30.4,120.4 30.5,120.5 30.5,120.5 30.4,120.4 30.4"
